City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tura,25.5198,90.2201,18.05,85,6,1.51,IN,1699919419
83,vadso,70.0744,29.7487,-7.91,86,40,5.66,NO,1699919420
84,wuchang,44.9143,127.15,-10.88,93,51,1.62,CN,1699919421
85,yatou,37.15,122.3833,4.75,53,87,2.92,CN,1699919422
86,susuman,62.7833,148.1667,-32.37,99,79,0.46,RU,1699919387
87,charlestown,-32.95,151.6667,25.01,67,22,1.79,AU,1699919425
88,mahebourg,-20.4081,57.7,23.47,94,40,1.54,MU,1699919426
89,hastings,50.8552,0.5729,13.77,85,48,12.99,GB,1699919426
90,udachny,66.4167,112.4,-6.97,92,100,3.92,RU,1699919166
91,constantia,44.1833,28.65,2.38,49,0,4.19,RO,1699919338
92,chibougamau,49.9168,-74.3659,-4.21,86,100,3.6,CA,1699919396
93,ust-nera,64.5667,143.2,-30.69,98,62,2.16,RU,1699919430
94,mount pearl,47.5166,-52.7813,0.08,81,100,4.12,CA,1699919395
95,opuwo,-18.0607,13.84,25.23,24,84,1.83,NA,1699919432
96,selfoss,63.9331,-20.9971,3.85,69,59,7.6,IS,1699919363
97,college,64.8569,-147.8028,-2.74,92,100,1.34,US,1699919434
98,saipan,15.1355,145.701,30.39,70,20,8.23,MP,1699919435
99,saint-pierre,-21.3393,55.4781,23.09,68,0,2.57,RE,1699919436
100,tippi,7.2,35.45,17.37,98,66,1.5,ET,1699919437
101,vorgashor,67.5833,63.95,-15.35,91,97,3.49,RU,1699919437
102,usinsk,65.9939,57.5281,-9.4,87,100,3.13,RU,1699919398
103,invercargill,-46.4,168.35,18.34,52,51,5.36,NZ,1699919439
104,labasa,-16.4167,179.3833,29.73,71,100,5.76,FJ,1699919440
105,san patricio,28.017,-97.5169,18.24,92,100,5.31,US,1699919441
106,callao,-12.0667,-77.15,23.18,77,20,3.09,PE,1699919422
107,hawaiian paradise park,19.5933,-154.9731,27.73,72,40,4.63,US,1699919395
108,tukrah,32.5341,20.5791,20.63,67,9,5.61,LY,1699919443
109,smithers,54.7804,-127.1743,1.18,93,75,2.06,CA,1699919440
110,gedo,9.0167,37.45,9.9,85,30,1.16,ET,1699919445
